country_code,country,year,hs_section_code,product,value_usd,export_share_country,export_share_world,rca,has_rca
UZB,Uzbekistan,2010,01,Animal Products,10038508,0.0015499489503486112,0.04718575750138961,0.03284781324752423,RCA <= 1 (No Advantage)
UZB,Uzbekistan,2010,02,Vegetable Products,624672848,0.09644969402513576,0.09704343763778592,0.9938816716812289,RCA <= 1 (No Advantage)
UZB,Uzbekistan,2010,03,Animal and Vegetable Bi-Products,1735354,2.6793923068879e-4,0.0012549003742064516,0.21351434440221914,RCA <= 1 (No Advantage)
UZB,Uzbekistan,2010,04,Foodstuffs,68329818,0.01055014646465507,0.024087220449705706,0.4379976712831542,RCA <= 1 (No Advantage)
UZB,Uzbekistan,2010,05,Mineral Products,1314134101,0.20290273917819918,0.11796220798876374,1.7200656264210168,RCA > 1 (Comparative Advantage)
UZB,Uzbekistan,2010,06,Chemical Products,856468010,0.1322389435867027,0.025993047732391188,5.087473579403057,RCA > 1 (Comparative Advantage)
UZB,Uzbekistan,2010,07,Plastics and Rubbers,91490736,0.014126199852589836,0.03812155308585897,0.37055677717993846,RCA <= 1 (No Advantage)
UZB,Uzbekistan,2010,08,Animal Hides,13276231,0.002049854450784488,0.016711270825543002,0.12266299027667645,RCA <= 1 (No Advantage)
UZB,Uzbekistan,2010,09,Wood Products,904255,1.3961727062402932e-4,0.014025013973214076,0.0099548756878731,RCA <= 1 (No Advantage)
UZB,Uzbekistan,2010,10,Paper Goods,11536707,0.0017812713707185844,0.005133645999145506,0.34697978220841025,RCA <= 1 (No Advantage)
UZB,Uzbekistan,2010,11,Textiles,1788411626,0.2761313456651081,0.19448515319700352,1.4198068136615096,RCA > 1 (Comparative Advantage)
UZB,Uzbekistan,2010,12,Footwear and Headwear,3595900,5.552081475213818e-4,0.09539015812039944,0.005820392359771642,RCA <= 1 (No Advantage)
UZB,Uzbekistan,2010,13,Stone And Glass,10581749,0.001633825540150236,0.011125226405544622,0.14685773399954946,RCA <= 1 (No Advantage)
UZB,Uzbekistan,2010,14,Precious Metals,296471405,0.04577528283965386,0.018958795452395483,2.4144615597859653,RCA > 1 (Comparative Advantage)
UZB,Uzbekistan,2010,15,Metals,703137672,0.10856468876320724,0.04477313033615681,2.42477325011906,RCA > 1 (Comparative Advantage)
UZB,Uzbekistan,2010,16,Machines,139048418,0.02146912165898906,0.15536692624912973,0.13818334556328596,RCA <= 1 (No Advantage)
UZB,Uzbekistan,2010,17,Transportation,516420933,0.07973556259968119,0.02410999626737611,3.307157816012338,RCA > 1 (Comparative Advantage)
UZB,Uzbekistan,2010,18,Instruments,14907270.000000002,0.0023016874110239633,0.009908328033162828,0.23229826498681674,RCA <= 1 (No Advantage)
UZB,Uzbekistan,2010,19,Weapons,133,2.053524392234038e-8,9.694307580638347e-6,0.0021182785620866575,RCA <= 1 (No Advantage)
UZB,Uzbekistan,2010,20,Miscellaneous,10839213,0.001673578066775961,0.058305610512123206,0.028703551031816776,RCA <= 1 (No Advantage)
UZB,Uzbekistan,2010,21,Arts and Antiques,669198,1.0332439219806268e-4,4.8925551123457536e-5,2.111869765908951,RCA > 1 (Comparative Advantage)
UZB,Uzbekistan,2011,01,Animal Products,8072031,0.0011694494379436212,0.04408056224243694,0.026529821273871518,RCA <= 1 (No Advantage)
UZB,Uzbekistan,2011,02,Vegetable Products,827194981,0.1198413020961186,0.09272938117793425,1.2923768127618633,RCA > 1 (Comparative Advantage)
UZB,Uzbekistan,2011,03,Animal and Vegetable Bi-Products,324492,4.7011339155808677e-5,0.0018839641487800943,0.024953414950199287,RCA <= 1 (No Advantage)
UZB,Uzbekistan,2011,04,Foodstuffs,60423816,0.008754004742995756,0.024365125558440136,0.35928420405629097,RCA <= 1 (No Advantage)
UZB,Uzbekistan,2011,05,Mineral Products,1632204765,0.23646848544537924,0.11747162651935444,2.0129838366238935,RCA > 1 (Comparative Advantage)
UZB,Uzbekistan,2011,06,Chemical Products,690402207,0.10002321261293291,0.025108171589270405,3.9836916143936305,RCA > 1 (Comparative Advantage)
UZB,Uzbekistan,2011,07,Plastics and Rubbers,85834587,0.01243543409623586,0.03891288862663983,0.3195710864734555,RCA <= 1 (No Advantage)
UZB,Uzbekistan,2011,08,Animal Hides,12787085,0.001852551032842578,0.016873851142358502,0.10978827638179829,RCA <= 1 (No Advantage)
UZB,Uzbekistan,2011,09,Wood Products,1324271,1.9185604919443904e-4,0.01646207625131442,0.01165442598281734,RCA <= 1 (No Advantage)
UZB,Uzbekistan,2011,10,Paper Goods,15947025,0.0023103528000726053,0.004399728122775917,0.5251126286900965,RCA <= 1 (No Advantage)
UZB,Uzbekistan,2011,11,Textiles,1614246950,0.23386681596982278,0.18333766609037594,1.275607031315314,RCA > 1 (Comparative Advantage)
UZB,Uzbekistan,2011,12,Footwear and Headwear,7968984,0.001154520325774481,0.08838441285440751,0.013062487926194419,RCA <= 1 (No Advantage)
UZB,Uzbekistan,2011,13,Stone And Glass,22565291,0.0032691855218326404,0.009648256574427727,0.338836918008324,RCA <= 1 (No Advantage)
UZB,Uzbekistan,2011,14,Precious Metals,205174640,0.0297250304698142,0.013639299913400155,2.1793662914186935,RCA > 1 (Comparative Advantage)
UZB,Uzbekistan,2011,15,Metals,846444512,0.12263011115899612,0.047603212786236915,2.576088965038323,RCA > 1 (Comparative Advantage)
UZB,Uzbekistan,2011,16,Machines,139533812,0.020215202099388728,0.19361530636743815,0.10440911144196853,RCA <= 1 (No Advantage)
